Language Code	Language Name	English Name 1	English Name 2	English Name 3	English Name 4	English Name 5	Target  Name 1	Target  Name 2	Target  Name 3	Target  Name 4	Target  Name 5	Conjuntion of the names	Disjunction of the names	English Language 1	English Language 2	English Language 3	English Language 4	English Language 5	Target  Language 1	Target  Language 2	Target  Language 3	Target  Language 4	Target  Language 5	Conjuntion of languages	Disjunction of the languages
ta	Tamil	John	Fredrik	Olga	Nadeem	Botu	ஜான்	ஃபிரடெரிக்	ஓல்கா	நதீம்	பொதுபல	ஜான், ஃபிரடெரிக், ஓல்கா, நதீம் மற்றும் பொதுபல	ஜான், ஃபிரடெரிக், ஓல்கா, நதீம் அல்லது பொதுபல	English	Chinese	Japanes	Spanish	Tamil	ஆங்கிலம்	சீன	Japanes	ஸ்பானிஷ்	தமிழ்	ஆங்கிலம், சீன, Japanes, ஸ்பானிஷ் மற்றும் தமிழ்	ஆங்கிலம், சீன, Japanes, ஸ்பானிஷ் அல்லது தமிழ்
sq	Albanian	John	Fredrik	Olga	Nadeem	Botu	nevojtore	Fredrik	olga	Nadeem	Bodu	nevojtore, Fredrik, olga, Nadeem, Bodu	nevojtore, Fredrik, olga, Nadeem, or Bodu	English	Chinese	Japanes	Spanish	Albanian	anglisht	kinez	Japanese	Spanjisht	Albanian	anglisht, kinez, Japanese, Spanjisht, Albanian	anglisht, kinez, Japanese, Spanjisht, or Albanian
hy	Armenian	John	Fredrik	Olga	Nadeem	Botu	Ոն	Fredrik	Օլգա	Նադիմ	Bodu	Ոն, Fredrik, Օլգա, Նադիմ, Bodu	Ոն, Fredrik, Օլգա, Նադիմ, or Bodu	English	Chinese	Japanes	Spanish	Armenian	Անգլերեն	Չինական	Ապոնացիներ	Իսպաներեն	հայերեն	Անգլերեն, Չինական, Ապոնացիներ, Իսպաներեն, հայերեն	Անգլերեն, Չինական, Ապոնացիներ, Իսպաներեն, or հայերեն
az	Azerbaijani	John	Fredrik	Olga	Nadeem	Botu	John	Fredrik	Olqa	Nadim	botu	John, Fredrik, Olqa, Nadim, botu	John, Fredrik, Olqa, Nadim, or botu	English	Chinese	Japanes	Spanish	Azerbaijani	İngilis	Çin	Yaponiya	İspan	Azerbaijani	İngilis, Çin, Yaponiya, İspan, Azerbaijani	İngilis, Çin, Yaponiya, İspan, or Azerbaijani
my	Burmese	John	Fredrik	Olga	Nadeem	Botu	ယောဟနျသ	Fredrik	Olga	Nadeem	Bodu	ယောဟနျသ, Fredrik, Olga, Nadeem, Bodu	ယောဟနျသ, Fredrik, Olga, Nadeem, or Bodu	English	Chinese	Japanes	Spanish	Burmese	အင်္ဂလိပ်	တရုတ်	ဂျပန်	စပိန်	မြန်မာ	အင်္ဂလိပ်, တရုတ်, ဂျပန်, စပိန်, မြန်မာ	အင်္ဂလိပ်, တရုတ်, ဂျပန်, စပိန်, or မြန်မာ
ka	Georgian	John	Fredrik	Olga	Nadeem	Botu	ჯონ	Fredrik	ოლგა	ნადიმ	Bodu	ჯონ, Fredrik, ოლგა, ნადიმ, Bodu	ჯონ, Fredrik, ოლგა, ნადიმ, or Bodu	English	Chinese	Japanes	Spanish	Georgian	ინგლისური	ჩინური	იაპონელები	ესპანური	ქართული	ინგლისური, ჩინური, იაპონელები, ესპანური, ქართული	ინგლისური, ჩინური, იაპონელები, ესპანური, or ქართული
kk	Kazakh	John	Fredrik	Olga	Nadeem	Botu	Джон	Фредрик	Ольга	Надим	Bodu	Джон, Фредрик, Ольга, Надим, Bodu	Джон, Фредрик, Ольга, Надим, or Bodu	English	Chinese	Japanes	Spanish	Kazakh	Ағылшынша	Қытай	Жапондықтар	Испан	Қазақ	Ағылшынша, Қытай, Жапондықтар, Испан, Қазақ	Ағылшынша, Қытай, Жапондықтар, Испан, or Қазақ
km	Central Khmer	John	Fredrik	Olga	Nadeem	Botu	ចន។	លោក Fredrik	អូលហ្គា។	ណាដិម។	Bodu	ចន។, លោក Fredrik, អូលហ្គា។, ណាដិម។, Bodu	ចន។, លោក Fredrik, អូលហ្គា។, ណាដិម។, or Bodu	English	Chinese	Japanes	Spanish	Central Khmer	អង់គ្លេស។	ជនជាតិចិន។	ជប៉ុន។	អេស្ប៉ាញ។	ខ្មែរកណ្ដាល។	អង់គ្លេស។, ជនជាតិចិន។, ជប៉ុន។, អេស្ប៉ាញ។, ខ្មែរកណ្ដាល។	អង់គ្លេស។, ជនជាតិចិន។, ជប៉ុន។, អេស្ប៉ាញ។, or ខ្មែរកណ្ដាល។
lo	Lao	John	Fredrik	Olga	Nadeem	Botu	ຈອນ	Fredrik	ໂອລາ	ນາດີ	Bodu	ຈອນ, Fredrik, ໂອລາ, ນາດີ, Bodu	ຈອນ, Fredrik, ໂອລາ, ນາດີ, or Bodu	English	Chinese	Japanes	Spanish	Lao	ພາສາອັງກິດ	ຈີນ	ຍີ່ປຸ່ນ	ສະເປນ	ລາວ	ພາສາອັງກິດ, ຈີນ, ຍີ່ປຸ່ນ, ສະເປນ, ລາວ	ພາສາອັງກິດ, ຈີນ, ຍີ່ປຸ່ນ, ສະເປນ, or ລາວ
mk	Macedonian	John	Fredrik	Olga	Nadeem	Botu	Он	Фредрик	Олга	Надим	Боду	Он, Фредрик, Олга, Надим, Боду	Он, Фредрик, Олга, Надим, or Боду	English	Chinese	Japanes	Spanish	Macedonian	Англиски	Кинески	Јапонците	Шпански	Македонски	Англиски, Кинески, Јапонците, Шпански, Македонски	Англиски, Кинески, Јапонците, Шпански, or Македонски
mn	Mongolian	John	Fredrik	Olga	Nadeem	Botu	Жон	Фредрик	Ольга	Надим	Bodu	Жон, Фредрик, Ольга, Надим, Bodu	Жон, Фредрик, Ольга, Надим, or Bodu	English	Chinese	Japanes	Spanish	Mongolian	Англи хэл	Хятадууд	Япончууд	Испани хэл	Монгол	Англи хэл, Хятадууд, Япончууд, Испани хэл, Монгол	Англи хэл, Хятадууд, Япончууд, Испани хэл, or Монгол
ne	Nepali (macrolanguage)	John	Fredrik	Olga	Nadeem	Botu	जोन	Fredrik	ओल्गा	नादिम	Bodu	जोन, Fredrik, ओल्गा, नादिम, Bodu	जोन, Fredrik, ओल्गा, नादिम, or Bodu	English	Chinese	Japanes	Spanish	Nepali (macrolanguage)	अंग्रेजी	चीनियाँ	जापान	स्पेनिश	नेपाली (म्याक्रोlang्गलाइज)	अंग्रेजी, चीनियाँ, जापान, स्पेनिश, नेपाली (म्याक्रोlang्गलाइज)	अंग्रेजी, चीनियाँ, जापान, स्पेनिश, or नेपाली (म्याक्रोlang्गलाइज)
si	Sinhala	John	Fredrik	Olga	Nadeem	Botu	ජෝන්	ෆෙඩ්රික්	ඔල්ගා	නදීම්	බොදු	ජෝන්, ෆෙඩ්රික්, ඔල්ගා, නදීම්, බොදු	ජෝන්, ෆෙඩ්රික්, ඔල්ගා, නදීම්, or බොදු	English	Chinese	Japanes	Spanish	Sinhala	ඉංග්රීසි	චීන	ජපාන ජාතිකයන්	ස්පාඤ්ඤ	සිංහල	ඉංග්රීසි, චීන, ජපාන ජාතිකයන්, ස්පාඤ්ඤ, සිංහල	ඉංග්රීසි, චීන, ජපාන ජාතිකයන්, ස්පාඤ්ඤ, or සිංහල
am	Amharic	John	Fredrik	Olga	Nadeem	Botu	ዮሐ	Fredrik	ኦልጋ	ናዲም።	Bodu	ዮሐ፣ Fredrik፣ ኦልጋ፣ ናዲም።, እና Bodu	ዮሐ፣ Fredrik፣ ኦልጋ፣ ናዲም። ወይም Bodu﻿	English	Chinese	Japanes	Spanish	Amharic	እንግሊዝኛ	ቻይንኛ	ጃፓኖች	ስፓንኛ	አማርኛ	እንግሊዝኛ፣ ቻይንኛ፣ ጃፓኖች፣ ስፓንኛ, እና አማርኛ	እንግሊዝኛ፣ ቻይንኛ፣ ጃፓኖች፣ ስፓንኛ ወይም አማርኛ﻿
gu	Gujarati	John	Fredrik	Olga	Nadeem	Botu	જ્હોન	ફ્રેડરીક	ઓલ્ગા	નાદિમ	Bodu	જ્હોન, ફ્રેડરીક, ઓલ્ગા, નાદિમ અને Bodu	જ્હોન, ફ્રેડરીક, ઓલ્ગા, નાદિમ, અથવા Bodu	English	Chinese	Japanes	Spanish	Gujarati	અંગ્રેજી	ચાઇનીઝ	જાપાનિઝ	સ્પેનિશ	ગુજરાતી	અંગ્રેજી, ચાઇનીઝ, જાપાનિઝ, સ્પેનિશ અને ગુજરાતી	અંગ્રેજી, ચાઇનીઝ, જાપાનિઝ, સ્પેનિશ, અથવા ગુજરાતી
kn	Kannada	John	Fredrik	Olga	Nadeem	Botu	ಜಾನ್	ಫೆಡ್ರಿಕ್	ಓಲ್ಗಾ	ನಾಡಿಮ್	Bodu	ಜಾನ್, ಫೆಡ್ರಿಕ್, ಓಲ್ಗಾ, ನಾಡಿಮ್, ಮತ್ತು Bodu	ಜಾನ್, ಫೆಡ್ರಿಕ್, ಓಲ್ಗಾ, ನಾಡಿಮ್, ಅಥವಾ Bodu	English	Chinese	Japanes	Spanish	Kannada	ಇಂಗ್ಲಿಷ್	ಚೈನೀಸ್	ಜಪಾನೀಸ್	ಸ್ಪ್ಯಾನಿಷ್	ಕನ್ನಡ	ಇಂಗ್ಲಿಷ್, ಚೈನೀಸ್, ಜಪಾನೀಸ್, ಸ್ಪ್ಯಾನಿಷ್, ಮತ್ತು ಕನ್ನಡ	ಇಂಗ್ಲಿಷ್, ಚೈನೀಸ್, ಜಪಾನೀಸ್, ಸ್ಪ್ಯಾನಿಷ್, ಅಥವಾ ಕನ್ನಡ
